Id,Name,Surname,CountryFisCode,Takeoff,Flight,Landing,LiveForm
96276609-ccdc-48f0-a3ff-200010d44881,Jan,Hoerl,AUT,9.5,8.5,8,5
892f7e39-5ab3-4258-95d7-b67e4045513e,Daniel,Tschofenig,AUT,9.5,9.0,8,5
f6c8b628-e203-4ad8-8ecb-94019b40dcfc,Stefan,Kraft,AUT,9.0,9.5,10,5
28bdf5a4-99ca-49d7-a807-2d0afbfb45ec,Maximilian,Ortner,AUT,8.5,8.5,9,5
81c1a04b-24cf-4501-81a0-822c268ead83,Manuel,Fettner,AUT,8.5,8.5,6,5
9d3415b3-833e-42e5-9743-1463ae0dc9ba,Domen,Prevc,SLO,8 ,9.5 ,7,5
852ee2a3-e821-4fff-8928-309be6f37de4,Timi,Zajc,SLO,8 ,9 ,7,5
2384f316-7f1b-48cb-ac01-c38da66d2ecb,Anze,Lanisek,SLO,9 ,9,8,5
6bd84154-16e3-47df-ab6b-e888094c97b3,Lovro,Kos,SLO,8.5,8.5,7,5
0cdcd060-1392-433c-9c5d-f74458c86a62,Marius,Lindvik,NOR,9,8.5,7,5
44cd9a39-74c9-4135-a12a-58f99b9b14fa,Halvor,Egner Granerud,NOR,8.5,8,7,5
